model_id,model_name,nmi,ari,latency_ms,vram_gb,parameters,license
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,Paraphrase-MiniLM-L12-v2,0.9229,0.7672,12.72,0.47,117.7M,Apache-2.0
Qwen/Qwen3-Embedding-0.6B,Qwen3-Embedding-0.6B,0.9229,0.7672,41.39,2.38,595.8M,Apache-2.0
ytu-ce-cosmos/modernbert-tr-embed,ModernBERT-TR-Embed (Primary),0.9225,0.7699,9.41,0.58,148.7M,Apache-2.0
intfloat/multilingual-e5-large-instruct,mE5-Large-Instruct (Search),0.8934,0.7158,11.24,2.15,559.9M,MIT
Qwen/Qwen3-Embedding-4B,Qwen3-Embedding-4B,0.8925,0.7112,55.08,8.5,4021.8M,Apache-2.0
ytu-ce-cosmos/turkish-e5-large,Turkish-E5-Large (YTU COSMOS),0.8886,0.7018,15.18,2.15,559.9M,MIT
